Epoch,Surrogate,Alpha,Train_Loss,Train_Acc,Test_Acc,Time
35,SuperSpike,10.0,1.6456982220840455,0.7371,0.685,28.51815629005432
36,SuperSpike,10.0,1.6455464072036743,0.73604,0.6555,27.913945198059082
37,SuperSpike,10.0,1.644695516242981,0.73876,0.6712,26.92190718650818
38,SuperSpike,10.0,1.6412827125549316,0.7437,0.6834,25.785046100616455
39,SuperSpike,10.0,1.6413355289077758,0.7443,0.6617,23.49502396583557
40,SuperSpike,10.0,1.6393121001052857,0.74792,0.6878,24.21803641319275
41,SuperSpike,10.0,1.6398213023757935,0.7494,0.675,25.441715240478516
42,SuperSpike,10.0,1.638411706390381,0.74728,0.6926,25.10278081893921
43,SuperSpike,10.0,1.6375098455429078,0.75158,0.6615,24.545310497283936
44,SuperSpike,10.0,1.6363950873565674,0.75468,0.6776,26.078388929367065
45,SuperSpike,10.0,1.6342307748794556,0.757,0.6663,27.910260438919067
46,SuperSpike,10.0,1.63538301486969,0.75678,0.6678,28.95051860809326
47,SuperSpike,10.0,1.634886346282959,0.75584,0.6671,28.676798820495605
48,SuperSpike,10.0,1.6324490620422363,0.76226,0.6816,28.314731121063232
49,SuperSpike,10.0,1.6335374796295166,0.75732,0.6726,27.226486206054688
50,SuperSpike,10.0,1.6323236740875244,0.7584,0.6684,25.39669370651245
51,SuperSpike,10.0,1.6313055876159668,0.75764,0.6607,23.161049365997314
52,SuperSpike,10.0,1.630064322090149,0.76356,0.6586,24.78763175010681
53,SuperSpike,10.0,1.6282480932235717,0.76746,0.6836,25.510225772857666
54,SuperSpike,10.0,1.6264838052368165,0.76934,0.6783,22.571904182434082
55,SuperSpike,10.0,1.6262253838729859,0.77072,0.685,24.340675115585327
56,SuperSpike,10.0,1.6278151293563843,0.76796,0.692,26.12648606300354
57,SuperSpike,10.0,1.6269724047470093,0.77048,0.6797,27.38885998725891
58,SuperSpike,10.0,1.6275077083969116,0.76922,0.6921,27.181930541992188
59,SuperSpike,10.0,1.6253067175674438,0.77364,0.6843,27.617274045944214
60,SuperSpike,10.0,1.6250166907119752,0.77536,0.6845,27.141199827194214
61,SuperSpike,10.0,1.6238719232177734,0.7772,0.692,27.097617387771606
62,SuperSpike,10.0,1.6217068603134155,0.77948,0.6924,25.74877405166626
63,SuperSpike,10.0,1.6234251873779297,0.77842,0.6716,23.13960862159729
64,SuperSpike,10.0,1.6210761029052734,0.77988,0.6805,23.18141531944275
65,SuperSpike,10.0,1.62101419921875,0.78196,0.6632,21.493696928024292
66,SuperSpike,10.0,1.6199607007217407,0.78126,0.6938,21.497984647750854
67,SuperSpike,10.0,1.6207053504180908,0.78306,0.6991,19.662610292434692
68,SuperSpike,10.0,1.62130627532959,0.7829,0.68,19.572935819625854
69,SuperSpike,10.0,1.6212093815612794,0.78088,0.6849,19.57963228225708
70,SuperSpike,10.0,1.6189834379959107,0.78412,0.6877,21.539587259292603
71,SuperSpike,10.0,1.6187047159957886,0.78642,0.6849,24.09607768058777
72,SuperSpike,10.0,1.6196502600097655,0.78214,0.6953,24.597906351089478
73,SuperSpike,10.0,1.6188324328231811,0.7864,0.7002,25.514430046081543
74,SuperSpike,10.0,1.6184657353973388,0.7857,0.6893,25.079994678497314
75,SuperSpike,10.0,1.6172715898132324,0.7893,0.6734,24.89332365989685
76,SuperSpike,10.0,1.6158283211517335,0.78864,0.6887,23.386791467666626
77,SuperSpike,10.0,1.615291593132019,0.79098,0.6833,25.479624271392822
78,SuperSpike,10.0,1.6174303489685058,0.78766,0.6786,25.781846046447754
79,SuperSpike,10.0,1.6155030599975586,0.7906,0.6928,25.004015922546387
